Timestamp,Team Number,Match Number,Break baseline,Fuel scored low boiler,Fuel scored high boiler,Gear placed on spike,Additional comments,Primary Scoring Location,Fuel Accumulated,Gears placed on spike,How is fuel loaded into the robot?,How are gears loaded into the robot?,Climbing,Additional Comments?,Pilot data
3/24/2017 11:41:10,281,6,Yes,0,0,No,,Does not score Fuel,0,3,Does not load fuel,"Player station, Efficient","Touched sensor, Locked in place, Fast climb (<10s), Trouble capturing rope",Horrible pilot ,"Dropped gear out of ship, Deployed rope late"
3/24/2017 13:10:09,281,15,No,0,0,No,,Does not score Fuel,,3,Does not load fuel,Player station,"Touched sensor, Locked in place, Fast climb (<10s)",,Strong pilot
3/24/2017 16:37:53,281,34,Yes,0,0,No,,Does not score Fuel,0,2,Does not load fuel,"Player station, Efficient","Touched sensor, Locked in place, Fast climb (<10s), Trouble capturing rope",,Strong pilot
3/24/2017 11:59:06,364,8,No,0,0,No,Droped gear,Does not score Fuel,0,2,Does not load fuel,Player station,"Touched sensor, Locked in place, Fast climb (<10s)",Play some defense ,
3/24/2017 12:17:58,364,8,No,0,0,No,Droped gear,Does not score Fuel,0,2,Does not load fuel,Player station,"Touched sensor, Locked in place, Fast climb (<10s)",Play some defense ,
3/24/2017 14:34:10,364,18,Yes,0,0,No,,Does not score Fuel,0,3,Does not load fuel,"Player station, Floor, Efficient","Touched sensor, Locked in place, Fast climb (<10s)",Piolet forgot to pull gear up,
3/24/2017 17:36:43,364,41,Yes,0,1,No,,Does not score Fuel,0,1,Does not load fuel,Player station,"Touched sensor, Locked in place, Fast climb (<10s)",,Strong pilot
3/24/2017 12:10:02,456,9,Yes,0,0,No,,Does not score Fuel,0,0,Player station,"Player station, Inefficient",Does not climb,Robot stopped working after a collision with us,
3/24/2017 17:28:49,456,40,Yes,0,0,No,,Does not score Fuel,0,3,Does not load fuel,Player station,"Touched sensor, Locked in place, Fast climb (<10s)",,Strong pilot
3/24/2017 18:44:15,456,49,Yes,0,0,No,,Does not score Fuel,,5,Does not load fuel,"Player station, Efficient","Touched sensor, Fast climb (<10s), Trouble capturing rope",Very good ,Strong pilot
3/24/2017 12:01:38,590,8,No,0,0,No,,Low Boiler,6-10,0,Player station,Does not do gears,"Trouble capturing rope, Does not climb",Inexperienced drive team,
3/24/2017 13:10:32,590,15,No,0,0,No,,Does not score Fuel,,1,Does not load fuel,Player station,"Touched sensor, Locked in place",,
3/24/2017 15:02:02,590,23,Yes,0,0,No,,Does not score Fuel,,1,Does not load fuel,Player station,Does not climb,,Strong pilot
3/24/2017 19:05:42,590,52,Yes,0,0,No,,Low Boiler,6-10,1,Player station,"Player station, Inefficient",Does not climb,,
3/24/2017 12:11:35,1421,9,No,0,0,No,,Does not score Fuel,0,0,Does not load fuel,"Player station, Inefficient","Touched sensor, Rolled backward, Slow climb (10-20s)","Gears got stuck on foam noodle, prevented gear from loading ",
3/24/2017 13:11:06,1421,15,No,0,0,No,Human pulled spike up to early,Does not score Fuel,0,0,Player station,Player station,Fast climb (<10s),,
3/24/2017 16:12:50,1421,31,Yes,0,0,No,,High Boiler,1-5,0,Player station,"Player station, Inefficient","Touched sensor, Locked in place, Fast climb (<10s)",Couldn't load well,"Strong pilot, Deployed rope late"
3/24/2017 17:36:47,1421,41,Yes,0,0,No,,Does not score Fuel,0,3,Does not load fuel,"Player station, Efficient","Touched sensor, Slow climb (10-20s), Trouble capturing rope",Decent at gear cycling,
3/24/2017 13:22:51,1730,16,No,0,0,No,Tried and missed,Does not score Fuel,0,2,Does not load fuel,Floor,Does not climb,,
3/24/2017 15:36:36,1730,27,Yes,0,0,No,,Does not score Fuel,,2,Does not load fuel,"Floor, Efficient","Touched sensor, Locked in place, Fast climb (<10s)",Not bad ,Strong pilot
3/24/2017 10:47:46,1818,1,No,0,0,No,,Does not score Fuel,0,1,Does not load fuel,Player station,Does not climb,,Strong pilot
3/24/2017 12:36:20,1818,12,Yes,0,0,No,,Does not score Fuel,0,3,Does not load fuel,"Player station, Efficient","Trouble capturing rope, Does not climb",,
3/24/2017 16:01:10,1818,30,Yes,0,0,No,,Does not score Fuel,0,0,Does not load fuel,Player station,"Touched sensor, Fast climb (<10s)",,Strong pilot
3/24/2017 16:02:10,1818,30,Yes,0,0,No,,Does not score Fuel,0,2,Does not load fuel,Player station,"Touched sensor, Locked in place, Slow climb (10-20s)",,
